meeting_date,hawkishness_im,uncertainty_im,dissent_detected,fg_type,fg_direction,inflation_outlook,growth_prospects,labor_market,speech_hawkishness,agg_econ_index,expected_change_bp,entropy,modal_outcome,hawkishness_index_ii,policy_uncertainty,p_hold,dfr_actual_bp,dfr_surprise_mech,dfr_surprise_sal,dfr_surprise_norm,dfr_direction,mro_surprise_mech
1999-03-04,-0.1,0.6,False,Delphic,hold,-0.40454545454545454,-0.036363636363636355,0.01363636363636364,0.3775,-0.2105,-0.1575,0.3946,hold,-0.0032,0.2452,0.8998,0.0,0.1575,0.1056,,no_surprise,0.1575
1999-03-18,0.15,0.55,False,Delphic,ambiguous,-0.26428571428571435,-0.1142857142857143,0.01428571428571429,0.5367,-0.1636,0.265,0.6392,hold,0.0053,0.3972,0.7998,0.0,-0.265,0.2234,,no_surprise,-0.265
1999-04-08,-0.05,0.4,False,Delphic,hold,-0.375,-0.20833333333333331,-0.027777777777777783,0.3371,-0.2556,0.2,0.5942,hold,0.004,0.3692,0.8208,-50.0,-50.2,13.8155,,dovish_surprise,-50.2
1999-04-22,-0.7,0.3,False,Odyssean,hold,-0.35500000000000004,-0.22999999999999998,-0.05500000000000001,0.225,-0.2575,-1.6525,0.2434,hold,-0.0331,0.1512,0.9339,0.0,1.6525,0.0684,,no_surprise,1.6525
1999-05-06,-0.52,0.53,False,Odyssean,hold,-0.3444444444444444,-0.23333333333333334,-0.027777777777777776,0.2617,-0.2478,-6.4675,1.2141,hold,-0.1293,0.7544,0.5783,0.0,6.4675,0.5477,,hawkish_surprise,6.4675
1999-05-20,0.025,0.425,False,Delphic,hold,-0.24761904761904763,-0.2285714285714286,-0.0380952380952381,0.2667,-0.2,-0.775,0.4627,hold,-0.0155,0.2875,0.8738,0.0,0.775,0.1349,,no_surprise,0.775
1999-06-02,-0.1,0.4,False,Delphic,ambiguous,-0.196,-0.2,-0.07600000000000001,0.4367,-0.1732,-1.525,0.5177,hold,-0.0305,0.3217,0.8724,0.0,1.525,0.1365,0.0782,no_surprise,1.525
1999-06-17,0.05,0.575,False,Delphic,ambiguous,-0.23870967741935478,-0.1032258064516129,-0.04516129032258065,0.2612,-0.1594,-1.365,0.6336,hold,-0.0273,0.3937,0.799,0.0,1.365,0.2244,0.0747,no_surprise,1.365
1999-07-01,0.075,0.5,False,Delphic,hold,-0.18906250000000002,-0.109375,-0.009375,0.4888,-0.1292,0.2725,0.954,hold,0.0054,0.5928,0.6999,0.0,-0.2725,0.3568,-0.0158,no_surprise,-0.2725
1999-07-15,-0.05,0.5,False,Delphic,ambiguous,-0.06315789473684211,-0.07894736842105263,-0.1473684210526316,0.3583,-0.0847,-1.955,0.6974,hold,-0.0391,0.4333,0.7993,0.0,1.955,0.224,0.1197,no_surprise,1.955
1999-07-29,0.35,0.4,False,Delphic,hike,-0.05750000000000001,-0.14749999999999996,-0.15,0.5025,-0.103,10.5325,0.8232,hold,0.2107,0.5115,0.6479,0.0,-10.5325,0.434,-0.6746,dovish_surprise,-10.5325
1999-08-26,0.33,0.42,False,Delphic,hike,-0.013043478260869563,0.11521739130434784,0.013043478260869563,0.0,0.0307,5.7625,0.6733,hold,0.1153,0.4183,0.7215,0.0,-5.7625,0.3264,-0.3838,dovish_surprise,-5.7625
1999-09-09,0.32,0.47,False,Delphic,hike,0.02258064516129031,0.0967741935483871,0.003225806451612899,0.35,0.041,7.0425,0.881,hold,0.1409,0.5474,0.6821,0.0,-7.0425,0.3826,-0.4897,dovish_surprise,-7.0425
